GP,Eye,Region,ROI,Layer,Z,K,alpha,c,rho
11-3,LE,INF,3,1,1.552666044,2.411560425,5.64914E-06,1539.50629,1.010300593
11-3,LE,INF,3,2,1.598057847,2.6516129,8.27821E-06,1657.06243,0.972564306
11-3,LE,INF,3,3,1.598457402,2.491417892,9.0987E-06,1542.023357,1.033949965
11-3,LE,INF,3,4,1.574613727,2.449821341,7.83145E-06,1537.778997,1.023841778
11-3,LE,INF,3.2,1,1.595333889,2.46347967,7.18819E-06,1536.662753,1.040775932
11-3,LE,INF,3.2,2,1.613551188,2.707944031,8.84767E-06,1677.592762,0.968180187
11-3,LE,INF,3.2,3,1.612157056,2.611455918,7.48536E-06,1594.776613,1.008977551
11-3,LE,INF,3.2,4,1.604001476,2.505337753,9.0324E-06,1544.709255,1.037326508
11-3,LE,INF,3.4,1,1.609326871,2.521599444,1.01979E-05,1558.923363,1.040011255
11-3,LE,INF,3.4,2,1.614003268,2.723630833,6.32999E-06,1685.70806,0.962353861
11-3,LE,INF,3.4,3,1.647712546,2.712836939,7.66976E-06,1639.92378,1.003932513
11-3,LE,INF,3.4,4,1.574171561,2.455450247,8.12923E-06,1535.446561,1.022937613
11-3,LE,INF,3.6,1,1.613992235,2.505310855,1.0035E-05,1543.497675,1.048765182
11-3,LE,INF,3.6,2,1.633467647,2.795627446,8.45506E-06,1709.505276,0.962400672
11-3,LE,INF,3.6,3,1.644462959,2.650176746,8.31854E-06,1608.353288,1.019105853
11-3,LE,INF,3.6,4,1.574513056,2.441387333,8.25278E-06,1515.370044,1.034481937
11-3,LE,INF,3.8,1,1.633308434,2.519726671,9.64667E-06,1537.650473,1.054419005
11-3,LE,INF,3.8,2,1.655114034,2.861165514,1.04519E-05,1725.590961,0.966961894
11-3,LE,INF,3.8,3,1.64279392,2.704869658,6.7473E-06,1645.078525,0.999612439
11-3,LE,INF,3.8,4,1.602177077,2.532070186,9.52411E-06,1573.228174,1.018094652
11-3,LE,INF,4,1,1.647577076,2.590156396,6.5289E-06,1557.898539,1.052698136
11-3,LE,INF,4,2,1.66386166,2.926959171,9.91275E-06,1757.013729,0.959446956
11-3,LE,INF,4,3,1.646559201,2.765764787,6.72125E-06,1677.148377,0.983219539
11-3,LE,INF,4,4,1.563697584,2.491546456,8.48992E-06,1566.90055,0.998818662
11-3,LE,INF,4.2,1,1.640692116,2.572150339,7.57237E-06,1561.429274,1.048869385
11-3,LE,INF,4.2,2,1.671905298,2.830782896,8.50406E-06,1691.149135,0.99054709
11-3,LE,INF,4.2,3,1.63815783,2.66463977,9.13715E-06,1608.803248,1.014638804
