GP,absref,relmyo,myolevel,Eye,Region,ROI,Layer,c,K,rho,alpha,Z
11-3,10.33,0,EM,LE,INF,3,1,1539.50629,2.411560425,1.010300593,5.64914E-06,1.552666044
11-3,10.33,0,EM,LE,INF,3,2,1657.06243,2.6516129,0.972564306,8.27821E-06,1.598057847
11-3,10.33,0,EM,LE,INF,3,3,1542.023357,2.491417892,1.033949965,9.0987E-06,1.598457402
11-3,10.33,0,EM,LE,INF,3,4,1537.778997,2.449821341,1.023841778,7.83145E-06,1.574613727
11-3,10.33,0,EM,LE,INF,3.2,1,1536.662753,2.46347967,1.040775932,7.18819E-06,1.595333889
11-3,10.33,0,EM,LE,INF,3.2,2,1677.592762,2.707944031,0.968180187,8.84767E-06,1.613551188
11-3,10.33,0,EM,LE,INF,3.2,3,1594.776613,2.611455918,1.008977551,7.48536E-06,1.612157056
11-3,10.33,0,EM,LE,INF,3.2,4,1544.709255,2.505337753,1.037326508,9.0324E-06,1.604001476
11-3,10.33,0,EM,LE,INF,3.4,1,1558.923363,2.521599444,1.040011255,1.01979E-05,1.609326871
11-3,10.33,0,EM,LE,INF,3.4,2,1685.70806,2.723630833,0.962353861,6.32999E-06,1.614003268
11-3,10.33,0,EM,LE,INF,3.4,3,1639.92378,2.712836939,1.003932513,7.66976E-06,1.647712546
11-3,10.33,0,EM,LE,INF,3.4,4,1535.446561,2.455450247,1.022937613,8.12923E-06,1.574171561
11-3,10.33,0,EM,LE,INF,3.6,1,1543.497675,2.505310855,1.048765182,1.0035E-05,1.613992235
11-3,10.33,0,EM,LE,INF,3.6,2,1709.505276,2.795627446,0.962400672,8.45506E-06,1.633467647
11-3,10.33,0,EM,LE,INF,3.6,3,1608.353288,2.650176746,1.019105853,8.31854E-06,1.644462959
11-3,10.33,0,EM,LE,INF,3.6,4,1515.370044,2.441387333,1.034481937,8.25278E-06,1.574513056
11-3,10.33,0,EM,LE,INF,3.8,1,1537.650473,2.519726671,1.054419005,9.64667E-06,1.633308434
11-3,10.33,0,EM,LE,INF,3.8,2,1725.590961,2.861165514,0.966961894,1.04519E-05,1.655114034
11-3,10.33,0,EM,LE,INF,3.8,3,1645.078525,2.704869658,0.999612439,6.7473E-06,1.64279392
11-3,10.33,0,EM,LE,INF,3.8,4,1573.228174,2.532070186,1.018094652,9.52411E-06,1.602177077
11-3,10.33,0,EM,LE,INF,4,1,1557.898539,2.590156396,1.052698136,6.5289E-06,1.647577076
11-3,10.33,0,EM,LE,INF,4,2,1757.013729,2.926959171,0.959446956,9.91275E-06,1.66386166
11-3,10.33,0,EM,LE,INF,4,3,1677.148377,2.765764787,0.983219539,6.72125E-06,1.646559201
11-3,10.33,0,EM,LE,INF,4,4,1566.90055,2.491546456,0.998818662,8.48992E-06,1.563697584
11-3,10.33,0,EM,LE,INF,4.2,1,1561.429274,2.572150339,1.048869385,7.57237E-06,1.640692116
11-3,10.33,0,EM,LE,INF,4.2,2,1691.149135,2.830782896,0.99054709,8.50406E-06,1.671905298
11-3,10.33,0,EM,LE,INF,4.2,3,1608.803248,2.66463977,1.014638804,9.13715E-06,1.63815783
11-3,10.33,0,EM,LE,INF,4.2,4,1518.452301,2.451184966,1.044685903,1.01014E-05,1.594570245
11-3,10.33,0,EM,LE,INF,4.4,1,1570.676494,2.624494151,1.052856214,1.37018E-05,1.668479202
11-3,10.33,0,EM,LE,INF,4.4,2,1713.514985,2.804422104,0.961707557,9.83164E-06,1.633306918
11-3,10.33,0,EM,LE,INF,4.4,3,1622.37366,2.660073666,1.008785588,7.9769E-06,1.636840263
11-3,10.33,0,EM,LE,INF,4.4,4,1519.761557,2.445984967,1.034291361,1.13439E-05,1.577194664
11-3,10.33,0,EM,LE,SUP,2.2,1,1549.615545,2.581343628,1.070477798,2.94784E-06,1.660682047
11-3,10.33,0,EM,LE,SUP,2.2,2,1825.568502,3.177616259,0.980864361,1.07323E-05,1.770275936
11-3,10.33,0,EM,LE,SUP,2.2,3,1620.868298,2.594126696,0.987768417,7.6223E-06,1.593417708
11-3,10.33,0,EM,LE,SUP,2.2,4,1643.81535,2.799478358,1.03397625,1.0603E-05,1.700174319
11-3,10.33,0,EM,LE,SUP,2.4,1,1565.688226,2.60060725,1.048081465,5.86593E-06,1.627961954
11-3,10.33,0,EM,LE,SUP,2.4,2,1807.874863,3.112152452,0.994957948,1.14607E-05,1.752547429
11-3,10.33,0,EM,LE,SUP,2.4,3,1588.587556,2.560281577,1.010139463,7.34157E-06,1.604047782
11-3,10.33,0,EM,LE,SUP,2.4,4,1605.541325,2.634316564,1.017426692,9.31087E-06,1.633341213
11-3,10.33,0,EM,LE,SUP,2.6,1,1520.63922,2.584123966,1.076204704,3.34218E-06,1.683911074
11-3,10.33,0,EM,LE,SUP,2.6,2,1828.319254,3.104085327,1.030706698,9.96224E-06,1.893320887
11-3,10.33,0,EM,LE,SUP,2.6,3,1562.455491,2.503771362,1.010437215,6.58197E-06,1.581004199
11-3,10.33,0,EM,LE,SUP,2.6,4,1618.533726,2.686083041,1.021144655,9.97193E-06,1.654342865
11-3,10.33,0,EM,LE,SUP,2.8,1,1537.724459,2.626786525,1.083744874,7.22966E-06,1.717985699
11-3,10.33,0,EM,LE,SUP,2.8,2,1828.19964,3.158900184,1.019710165,9.97988E-06,1.863329262
11-3,10.33,0,EM,LE,SUP,2.8,3,1559.406463,2.514121846,1.024104224,7.38084E-06,1.598494732
11-3,10.33,0,EM,LE,SUP,2.8,4,1585.898715,2.605463257,1.031802742,1.01981E-05,1.640274283
11-3,10.33,0,EM,LE,SUP,3,1,1523.222914,2.599936866,1.081706997,3.97059E-06,1.707496235
11-3,10.33,0,EM,LE,SUP,3,2,1798.225868,3.201811701,1.0451167,8.1754E-06,1.884857084
11-3,10.33,0,EM,LE,SUP,3,3,1555.531483,2.541511713,1.033406941,8.88035E-06,1.60856182
11-3,10.33,0,EM,LE,SUP,3,4,1548.619072,2.559805838,1.062088932,1.11295E-05,1.647742229
11-3,10.33,0,EM,LE,SUP,3.2,1,1567.324183,2.774798494,1.068172985,1.08805E-05,1.842849148
